Player,Pos,Age,Team,H,HR,R,RBI,SB,AVG,BB%,K%,OPS,BABIP,wOBA,wRC+,LD%,EV,LA,Barrel%,HardHit%,Clutch,BsR,Fielding,WAR
Nico Hoerner,SS,26,CHC,175,9,98,68,43,0.283,0.071,0.121,0.729,0.312,0.322,102,0.191,86.6,10.5,0.017,0.33,0.47,9.7,9.4,4.7
Nick Castellanos,OF,31,PHI,170,29,79,106,11,0.272,0.054,0.276,0.788,0.337,0.335,109,0.2189999999999999,88.9,14.4,0.103,0.43,-0.1,-4.7,-8.4,1
Nathaniel Lowe,1B,28,TEX,163,17,89,82,1,0.262,0.128,0.228,0.775,0.329,0.34,114,0.223,89.8,7.2,0.065,0.414,-0.09,-8,4.4,2.1
Myles Straw,OF,29,CLE,110,1,52,29,20,0.238,0.081,0.187,0.597,0.295,0.268,69,0.221,86.3,9.4,0.005,0.231,-1.41,4.2,-1.2,0.4
Mookie Betts,OF,31,LAD,179,39,126,107,14,0.307,0.139,0.154,0.987,0.316,0.416,167,0.237,92.4,20.6,0.125,0.481,-0.72,3.5,0.7,8.3
MJ Melendez,OF,25,KCR,125,16,65,56,6,0.235,0.103,0.282,0.713,0.311,0.31,92,0.204,93.2,16.9,0.114,0.496,0.49,-0.9,-7.5,0
Michael Harris II,OF,22,ATL,148,18,76,57,20,0.293,0.046,0.187,0.808,0.334,0.345,115,0.222,90.9,7.6,0.1009999999999999,0.485,0.13,3.9,5.6,4
Max Muncy,3B,33,LAD,102,36,95,105,1,0.212,0.147,0.264,0.808,0.221,0.344,118,0.173,91.2,21.7,0.146,0.46,0.17,0.9,-5.8,2.9
Matt Vierling,OF,27,DET,125,10,63,44,6,0.261,0.083,0.211,0.717,0.321,0.315,99,0.207,89.1,9.1,0.046,0.42,-0.75,-0.7,-2.1,1.2
Matt Olson,1B,29,ATL,172,54,127,139,1,0.283,0.144,0.2319999999999999,0.993,0.302,0.413,160,0.178,93.7,16.1,0.1639999999999999,0.551,-0.6,1.5,-0.9,6.7
Matt Chapman,3B,30,TOR,122,17,66,54,4,0.24,0.107,0.284,0.755,0.319,0.328,110,0.156,93.5,18.5,0.171,0.561,-1.7,2.2,3.8,3.5
Masataka Yoshida,OF,30,BOS,155,15,71,72,8,0.289,0.059,0.14,0.783,0.316,0.339,109,0.186,89,3.9,0.066,0.406,-1.45,-5,-6.8,0.6
Mark Canha,OF,34,MIL,114,11,51,62,11,0.262,0.097,0.156,0.755,0.293,0.333,111,0.157,87.9,13.1,0.047,0.367,1.44,0.9,-1.2,1.6
Mark Canha,OF,34,MIL,114,11,51,62,11,0.262,0.097,0.156,0.755,0.293,0.333,111,0.157,87.9,13.1,0.047,0.367,1.44,0.9,-1.2,1.6
Marcus Semien,2B,33,TEX,185,29,122,100,14,0.276,0.096,0.146,0.826,0.291,0.354,124,0.196,88.4,19.1,0.065,0.368,-1.53,2.5,10.9,6.3
Marcell Ozuna,DH,33,ATL,145,40,84,100,0,0.274,0.096,0.226,0.905,0.293,0.381,139,0.196,91.8,15.6,0.166,0.49,-1.1,-0.4,-0.3,3.3
Manny Machado,3B,31,SDP,140,30,75,91,3,0.258,0.083,0.181,0.782,0.268,0.334,114,0.152,91,15,0.105,0.4589999999999999,-0.95,-3.5,9.3,3.5
Maikel Garcia,3B,23,KCR,126,4,59,50,23,0.272,0.074,0.223,0.681,0.344,0.299,84,0.246,91.8,6.1,0.039,0.506,-0.44,-0.8,11.1,1.9
Luis Robert Jr.,OF,26,CHW,144,38,90,80,20,0.264,0.05,0.289,0.857,0.314,0.358,128,0.1969999999999999,89.1,16.1,0.152,0.417,0.23,2,5.5,5
Luis Arraez,2B,26,MIA,203,10,71,69,3,0.354,0.057,0.055,0.861,0.362,0.369,132,0.285,88.3,11.5,0.035,0.252,-0.8,-2.6,-9.6,3.4
Lourdes Gurriel Jr.,OF,30,ARI,144,24,65,82,5,0.261,0.056,0.174,0.772,0.282,0.329,106,0.213,89.7,10.6,0.084,0.46,0.22,-3.2,9.5,2.1
Leody Taveras,OF,25,TEX,136,14,67,67,14,0.266,0.063,0.211,0.733,0.318,0.316,98,0.221,90.1,10.2,0.072,0.424,-1.14,3.7,0,2.3
Lars Nootbaar,OF,26,STL,111,14,74,46,11,0.261,0.143,0.1969999999999999,0.784,0.307,0.344,118,0.1889999999999999,89.1,7.2,0.088,0.3779999999999999,-0.4,2.2,2.8,3.2
Lane Thomas,OF,28,WSN,168,28,101,86,20,0.268,0.053,0.258,0.783,0.325,0.334,109,0.187,88.5,10.8,0.096,0.405,0.49,5.8,-2.6,2.7
LaMonte Wade Jr.,OF,29,SFG,110,17,64,45,2,0.256,0.146,0.183,0.79,0.29,0.347,122,0.207,88.3,17.5,0.091,0.3979999999999999,-0.35,-0.2,-2.3,2.1
Kyle Tucker,OF,26,HOU,163,29,97,112,30,0.284,0.119,0.136,0.886,0.289,0.372,140,0.191,90.2,14.8,0.104,0.445,0.86,6.8,-5.1,4.9
Kyle Schwarber,OF,30,PHI,115,47,108,104,0,0.197,0.175,0.299,0.817,0.209,0.35,119,0.161,92.4,19,0.1639999999999999,0.485,-0.02,-0.8,-15.9,1.4
Ketel Marte,2B,30,ARI,157,25,94,82,8,0.276,0.109,0.168,0.844,0.3,0.361,127,0.19,91.1,10.7,0.08,0.428,-0.08,-3.2,0.2,4.2
Keibert Ruiz,C,25,WSN,136,18,55,67,1,0.26,0.055,0.103,0.717,0.263,0.31,93,0.223,87.4,15.2,0.058,0.317,0.34,-7.4,-14.1,0
Ke'Bryan Hayes,3B,26,PIT,134,15,65,61,10,0.271,0.053,0.198,0.762,0.315,0.324,101,0.191,92.2,13.2,0.074,0.484,-0.19,-1.5,13.9,3.3
